epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30.8766,1.65051,2.27896,1.4228,0.91734,0.31481,0.53828,0.38664,1.13188,2.83742,1.18876,0.000348077,0.000348077,0.000348077
43,31.6196,1.33079,2.11151,1.19246,1,0.09406,0.53702,0.37393,1.20745,2.70657,1.24063,0.000350625,0.000350625,0.000350625
44,32.3283,1.63801,2.62333,1.49783,1,0.09406,0.53702,0.37393,1.20745,2.70657,1.24063,0.00035289,0.00035289,0.00035289
45,33.07,1.67673,2.48104,1.47882,0.94348,0.26836,0.52119,0.35706,1.34622,2.71947,1.4115,0.000354872,0.000354872,0.000354872
46,33.7604,1.54983,2.14848,1.3413,0.94348,0.26836,0.52119,0.35706,1.34622,2.71947,1.4115,0.000356571,0.000356571,0.000356571
47,34.5046,1.30471,1.98131,1.256,0.8487,0.24074,0.49978,0.33557,1.30787,2.79442,1.34062,0.000357987,0.000357987,0.000357987
48,35.1903,1.63709,2.24045,1.42975,0.8487,0.24074,0.49978,0.33557,1.30787,2.79442,1.34062,0.000359121,0.000359121,0.000359121
49,35.9376,1.28871,1.68772,1.22247,0.87543,0.26917,0.51772,0.39763,1.12864,2.70009,1.20521,0.000359971,0.000359971,0.000359971
50,36.6649,1.40042,2.23561,1.31926,0.87543,0.26917,0.51772,0.39763,1.12864,2.70009,1.20521,0.000360538,0.000360538,0.000360538
51,37.4172,1.11406,1.96649,1.21636,0.78052,0.30241,0.537,0.4146,1.09059,2.58869,1.22656,0.000360822,0.000360822,0.000360822
52,38.1039,1.02685,1.85847,1.14569,0.78052,0.30241,0.537,0.4146,1.09059,2.58869,1.22656,0.000360824,0.000360824,0.000360824
53,38.8066,1.33631,1.89248,1.28844,0.78052,0.30241,0.537,0.4146,1.09059,2.58869,1.22656,0.000360542,0.000360542,0.000360542
54,39.5524,1.26968,1.82903,1.14079,0.73431,0.32295,0.70836,0.44923,1.10846,2.58224,1.17532,0.000359978,0.000359978,0.000359978
55,40.2544,1.35988,1.80833,1.11109,0.73431,0.32295,0.70836,0.44923,1.10846,2.58224,1.17532,0.000359131,0.000359131,0.000359131
56,40.9944,1.38883,1.81371,1.33374,0.73431,0.32295,0.70836,0.44923,1.10846,2.58224,1.17532,0.000358,0.000358,0.000358
57,41.7463,1.40899,1.82731,1.37378,0.77737,0.35185,0.74224,0.60661,1.0395,2.55082,1.12405,0.000356587,0.000356587,0.000356587
58,42.4728,1.32956,1.92084,1.28483,0.77737,0.35185,0.74224,0.60661,1.0395,2.55082,1.12405,0.000354891,0.000354891,0.000354891
59,43.2087,1.12968,2.03132,1.21168,0.77737,0.35185,0.74224,0.60661,1.0395,2.55082,1.12405,0.000352912,0.000352912,0.000352912
60,43.9561,1.17906,1.47803,1.17644,0.7466,0.38889,0.78125,0.54157,1.03828,2.43302,1.08243,0.000350649,0.000350649,0.000350649
